I projektet mitt på Hvaler må jeg ha mulighet til å registrere følgende 9 variabler:,,,
1AG-A0 Tresjiktsdekning (A9-skala),,,
Kode,Innhold i %,,
8,> 90 ,,
7,75–90 ,,
6,50–75 ,,
5,25–50 ,,
4,10– 25,,
3,5%-10%,,
2,"2,5%-5%",,
1,"0–2,5",,
0,0,,
,,,
1AG-B Busksjiktsdekning (A9-skala),,,
Kode,Innhold i %,,
8,> 90 ,,
7,75–90 ,,
6,50–75 ,,
5,25–50 ,,
4,10– 25,,
3,5%-10%,,
2,"2,5%-5%",,
1,"0–2,5",,
0,0,,
,,,
1AR-A Relativ sammensetning av tresjiktet (A5-skala),,,
Kode,Innhold i %,Treslagskoder:,
4,75-100,B,Bartredominans
3,50-75,E,Edellauvtredominans
2,25-50,L,Boreale lauvtrær
1,"12,5-25",V,Pil og vier
0,0-25,,
Hvert treslag skal oppgis med en klasse. Alle kombinasjoner av treslag må være mulig.,,,
,,,
5AB-TR-KG Kraftgate,,,
Kode,Navn,,
0,ikke tilstede = default,,
1,tilstede,,
,,,
5KU-AR-SG Steingjerde,,,
Kode,Navn,,
0,ikke tilstede = default,,
1,tilstede,,
,,,
7SD-0 Skogbestandsdynamikk,,,
Kode,Navn,,
NS,Normalskog,,
NA,Naturskog,,
,,,
7SD-NS Normalskogens suksesjonsstadier,,,
Kode,Navn,,
1,skog under fornying,,
2,ungskog,,
3,yngre produksjonsskog,,
4,eldre produksjonsskog,,
5,gammel normalskog,,
,,,
7RA Rask suksesjon,,,
Kode,Navn,Beskrivelse,
1,Intakt hovedtype,Ikke tegn til gjengroing/suksesjon,
2,Brakkleggingsfasen/tidlig suksesjon,"Begynnende grengroing, artsammensetningen mer lik hovedtypen enn ettersuksesjonstilstanden",
3,Sein suksesjon,"Sterk gjengroing, artssammensetningen mer lik ettersuksesjonstilstand enn opprinnelig, skjøttet hovedtype",
,,,
7JB-BA Aktuell bruksintensitet,,,
Kode,Navn,Trinnet vil på sikt gi:,
1,Ikke i bruk,Naturlig mark uten hevdpreg,
2,Svärt ekstensiv bruk,"Naturlig mark. Spor etter beiting, men ikke regelmessig rydding",
3,Ekstensiv bruk,"Semi-naturlig mark. Reglemessig rydding, langtids (men ikke intensiv) beiting/slått/brenning, evt spor av gjødsling",
4,Nokså intensiv bruk,"Sterkt endret mark, spor av plöying, ganske regelmessig gjödslet",
5,Intensiv bruk,"Sterkt endret mark, ryddet, plöyd og tilrettelagt for maskinell hösting",
6,Svärt intensiv bruk,"Sterkt endret, fulldyrket mark",
